filename, Apple, Banana, Carrot, Orange
63bab0d2b13b588b_jpg.rf.41cf402c6f3b06de50cb444974edbf03.jpg, 0, 0, 0, 1
Image_43_jpg.rf.429c8566b815d3750defd7a20ba799d4.jpg, 1, 0, 0, 0
banana-health-inside2_jpg.rf.4258335b7d6721fe54f86884ff87775f.jpg, 0, 1, 0, 0
dd381c7470b391efb942af872db51dc7_jpg.rf.42668c7a0fd24b9ab64e138acc909414.jpg, 0, 0, 0, 1
Green-Apple-fruit-34914757-1600-1544_jpg.rf.4135c42caaa4c98caac782c10d1387c2.jpg, 1, 0, 0, 0
82216b95738e5c32_jpg.rf.41fc60ec46e454ae4542f4b60d360056.jpg, 0, 0, 0, 1
gala-1800x1800_jpg.rf.40b36a95d4f57ac224712bdadadc11ce.jpg, 1, 0, 0, 0
IMG_5515_jpg.rf.41aad243ef946ac23c724ea772958978.jpg, 0, 0, 0, 1
avorio-scultura-giapponese-frutta-mandarino-policromo-3_jpg.rf.40fa0a65dec674bbdc0e28a82c1a4556.jpg, 0, 0, 0, 1
70d4890ac04a702a_jpg.rf.429b358ad13ea9a31d98dfc3f23d2207.jpg, 1, 0, 0, 0
Image_83_png.rf.42b1f5d11bde6b43ad34b8622b8bffd8.jpg, 1, 0, 0, 0
OIP-W-Tv_LW1TOqmQP9Zeiy4AwAAAA_jpg.rf.446569778681f8e0d8fb66c55a90a435.jpg, 0, 1, 0, 0
Fruit0004_1_download600_jpg.rf.44f80c8e17bcc7c64d3e190245b2a978.jpg, 0, 1, 0, 0
053ab257e82a2ab1_jpg.rf.42ddced95c6d4d803220483055f3e3d0.jpg, 0, 1, 0, 0
OIP-xgQJAQH7--FY_VFBVNT5lAHaEl_jpg.rf.42aa72304b7fdc3204c36bcc3eff2b12.jpg, 0, 1, 0, 0
12d334ca0ef34967_jpg.rf.43aa2e1efc22f92c92e95033b78b373d.jpg, 1, 0, 0, 0
51f5b042ea1fcb7d_jpg.rf.437c544f27d0c41eda5ce3e86c514a0f.jpg, 0, 1, 0, 0
hinh-nen-trang-cu-ca-rot_jpg.rf.43c4edd936b05240b55986514a1f69da.jpg, 0, 0, 1, 0
OIP-6buZhzs8keLHbUlPevZvswHaE6_jpg.rf.4530d2ae7384ea127f2c8acac68c582d.jpg, 0, 0, 1, 0
a233d964fa8fe5e9e1b0e74f0fff0cde_jpg.rf.44488ce9eb5010da1313a11b128da23e.jpg, 0, 0, 0, 1
OIP-Uu9IjVtl8tOX6-mZ_5ANkwHaEK_jpg.rf.4408ebacb854c80f61f9a2507e91996c.jpg, 0, 1, 0, 0
310b0ce547f0e02f_jpg.rf.4566a41be2157323533140fb7ed00266.jpg, 0, 1, 0, 0
OIP-CV8ccqZYIRhgnLQiM9ncxwHaE8_jpg.rf.41122af96a14bc8856d100ff708b9167.jpg, 0, 1, 0, 0
d369913638f28591_jpg.rf.49badaf60092c2511f02c734a8985e07.jpg, 0, 1, 0, 0
OIP-IB_YCholTo5xbw98lCKNDQAAAA_jpg.rf.4a0261d9be64f68c885a2be9db4ccd0d.jpg, 0, 0, 0, 1
juicy-apple-large_jpg.rf.49c571259477c559f18616d28ac2f5d0.jpg, 1, 0, 0, 0
OIP-XGA3rcl3e6sLgjj-1suu7wHaFj_jpg.rf.464e4fdc2df5e2fb5e37103a64d56d7d.jpg, 0, 0, 0, 1
0wceh95dfl551_jpg.rf.4870c5dd73fbf4ef5ba03932d106642b.jpg, 0, 1, 0, 0
1382c47d4df56b77_jpg.rf.4523c849149db17e31459be2b30a675c.jpg, 1, 0, 0, 0
maxresdefault2_jpg.rf.44fd3753ea2c0312341ff8ef6e57a0e6.jpg, 1, 0, 0, 0
banana-1457758_jpg.rf.471dc01765b06a8f08a0cc7ce81765fd.jpg, 0, 1, 0, 0
Do-Bananas-Lower-Testosterone-1-800x536_jpg.rf.47f06263903f2342c21b37c570f4fbdd.jpg, 0, 1, 0, 0
OIP-NXPVpkgt8hUyeQw6I5J3NwHaEl_jpg.rf.486fcb3272aa876bcc05e64970967145.jpg, 1, 0, 0, 0
Apple-fruit2_jpg.rf.496011309dea717ff6d9e0563f7cfd10.jpg, 1, 0, 0, 0
Liberty1_jpg.rf.4a0d0ef3cea44e008fc3093e06f615d2.jpg, 1, 0, 0, 0
OIP-3ziyJq1_Kz91Pi2wFqjxFAHaEK_jpg.rf.45818b8c411b6dcb6712f8e046247ea2.jpg, 0, 0, 0, 1
OIP-j-oFavBeujXS7R88P51eAwHaEc_jpg.rf.45b41f5283648b40781f23761fe0a7ba.jpg, 0, 0, 0, 1
20190505071734_jpg.rf.4a6bbc13313169e3e34be62b1b72cb36.jpg, 0, 1, 0, 0
mif3Rrq_jpg.rf.4533fd7218288655aaf224bacb43b188.jpg, 1, 0, 0, 0
OIP-Ath3GCz7xVSA9ab-vhTxfwHaE8_jpg.rf.49c6473ef666ed3e3f734cacb0b018f2.jpg, 0, 1, 0, 0
0a19e79f9a352c05_jpg.rf.4b03c1796a2e5ff20d718b87a7eb25cb.jpg, 0, 0, 0, 1
0b3691c7f10c1d08_jpg.rf.4aac5fe7df93d56f919163cdaf6d3432.jpg, 0, 1, 0, 0
164f5889cf6266fe_jpg.rf.4555c4f7631375c3b943b57b6077198f.jpg, 0, 1, 0, 0
OIP-7dK9zGs7njaAuo9vyCKkOwHaJ4_jpg.rf.4320c7d641c8c8c51afac72ee345c221.jpg, 0, 1, 0, 0
OIP-AIkNojXKUw8tMDHir1zyGAAAAA_jpg.rf.4d7362fd742bd1a8ae905ead9ad82bb9.jpg, 0, 1, 0, 0
o4032302413971637386_jpg.rf.4b4418b70eff9a2cc17350a3b3494ac7.jpg, 1, 0, 0, 0
75533c5e58f7fca8_jpg.rf.4c3f205d00def1ec90029a2bd51aa55c.jpg, 1, 0, 0, 0
4805e9ba3fc9ca8e_jpg.rf.4ba5a89fe483f679fae3a99db5f781ce.jpg, 0, 1, 0, 0
bruised-apple_jpg.rf.4cdb40747dbaf1107d5b300c69f79c9d.jpg, 1, 0, 0, 0
234398_tabean_banana_png.rf.4e6efcc2385eab03ab3eb3e6a0f665cc.jpg, 0, 1, 0, 0
